Respondent ID,Panel ID,"When was the last time you ordered food for delivery from any service (e.g, Deliveroo, Uber Eats, Just Eat)?",Which of the following food delivery apps have you used in the past 12 months? - Deliveroo,Which of the following food delivery apps have you used in the past 12 months? - Just Eat,Which of the following food delivery apps have you used in the past 12 months? - Uber Eats,Which of the following food delivery apps have you used in the past 12 months? - None of these,"Thinking about food delivery services, what new offers, deals, or initiatives, if any, come to mind? If none come to mind, please write N/A below.","And which company or app were those from? If N/A, please write this below.","Have you seen or heard about something called ""Family Dinneroo"" from Deliveroo?",Where have you seen or heard about it? Please select all that apply. - In the Deliveroo app,Where have you seen or heard about it? Please select all that apply. - In an email or notification from Deliveroo,"Where have you seen or heard about it? Please select all that apply. - Social media (e.g., Instagram, TikTok, Facebook)","Where have you seen or heard about it? Please select all that apply. - Online ads (e.g., banners, search results)",Where have you seen or heard about it? Please select all that apply. - On YouTube or while watching videos online,Where have you seen or heard about it? Please select all that apply. - In a Podcast or while listening to music,Where have you seen or heard about it? Please select all that apply. - TV or radio,"Where have you seen or heard about it? Please select all that apply. - Outdoor ads (billboards, bus stops, etc.)","Where have you seen or heard about it? Please select all that apply. - Friends, family, or word-of-mouth",Where have you seen or heard about it? Please select all that apply. - Don't recall,Where have you seen or heard about it? Please select all that apply. - Other,What message or idea do you most remember about Family Dinneroo?,"In your own words, what do you think “Family Dinneroo” is?","Based on what you’ve seen or heard about it so far, how appealing does Family Dinneroo sound to you?","Based on this, how appealing does Family Dinneroo look to you?","In your own words, what do you think this offer is about?",Do you think Family Dinneroo is…,"Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Price / value for money","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Portion size","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Balanced or healthy options","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Choice of restaurants","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Speed or convenience","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Ability to customise meals","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Family-friendly options (something for everyone)","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Other","What, if anything, would make this more appealing to you?",Which of the following best describes your experience with Family Dinneroo?,"Now that you know what Family Dinneroo is, how likely are you to consider ordering it in the near future?",What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t think the meals will be nutritious/balanced enough for weekdays,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t think we’ll get enough food for the price,"What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - My family have very specific needs (likes, dislikes, dietary needs)",What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - We don't eat between 4:30pm and 6:30pm,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - Our window for dinner is tight / I don’t want to risk it being late,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t want the food to arrive cold,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I won’t have time to browse and order,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - It will probably be more than £25,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - Other,"If Deliveroo had this offering in the app tomorrow, how likely are you to click in and browse available restaurants?",Age,Gender,UK Region MD,U 16 HH
e3db672c-2e77-4a08-8b9e-f94616ee7345yffknfw,4pzacubs3vg,1-3 months ago,Yes,Yes,Yes,No,N/A,N/A,Maybe / not sure,No,No,No,No,No,No,No,No,No,Yes,No,Covering family dinner,A full family package ,Somewhat appealing,Very appealing,A full package meal ,Excellent value,No,Yes,No,No,No,Yes,Yes,No,Favorable price ,"I've heard of it, but I'm not interested in trying it",Very likely,,,,,,,,,,Might do if convenient,25 34,Male,South England Wales,U 16 In HH
815632ed-bfbb-470a-8552-ed270ad44a51yffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,Vouchers ,None ,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,A great offer ,Fair value,Yes,No,No,No,No,No,Yes,No,Price cuts ,,Somewhat likely,,,,,,,,,,Might do if convenient,45 54,Female,South England Wales,Other HH
a94666a1-b776-4b51-aa41-5934eb0d7cd7yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,N/A,Justeats,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,It is very appealing,Good value,Yes,No,Yes,No,Yes,No,No,No,If the value given matches the price,,Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Female,Greater London,U 16 In HH
f9934af4-e7e1-4914-a472-51ebed57ab13yffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,None ,Just eat ,Maybe / not sure,No,No,No,No,No,No,No,No,Yes,No,No,Food for the family from any brand ,Family food time,Very appealing,Somewhat appealing,Family dinneroo ,Good value,No,No,Yes,Yes,No,No,Yes,No,When it is very delicious ,"I've heard of it, but I haven't decided if I'll try it",Somewhat likely,,,,,,,,,,Might do if convenient,45 54,Male,Core London,U 16 In HH
3e40fea7-47ef-46cd-a2cb-2886e3af4203yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Uber eats Deliveroo Just eat,Uber,Maybe / not sure,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Not sure ,Meals for family ,Very appealing,Very appealing,Appealing ,Excellent value,No,No,No,No,No,No,Yes,No,Variety ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,45 54,Male,Core London,U 16 In HH
ff7e1a05-df0a-48c2-9809-46ac981f4d39yffknfw,4pzacubs3vg,1-3 months ago,Yes,No,No,No,"Discounts, free delivery ",Uber,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,A special offer when purchasing a meal for 4 people between 4.30 and 6.30,Excellent value,No,No,No,Yes,No,Yes,Yes,No,It is very appealing.  I would need to see what restaurants are included and what is excluded. ,,Somewhat likely,,,,,,,,,,Might do if convenient,45 54,Male,South England Wales,U 16 In HH
f47e46c8-c475-4874-95ab-0ffd11095c39yffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,discounts,Uber eats,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Family discount,Good value,Yes,No,No,Yes,No,No,Yes,No,More details,,Very likely,,,,,,,,,,Definitely would,45 54,Male,South England Wales,U 16 In HH
1b0db09c-dc32-49b9-85e6-89aeb28c7e77yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,Uber eat,Asda,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,Feed the family ,Excellent value,No,No,Yes,No,No,No,No,No,Advert ,,Somewhat likely,,,,,,,,,,Definitely would,25 34,Male,North England,Other HH
c8e69aea-d806-40fa-adfe-9f679934a91fyffknfw,4pzacubs3vg,In the past month,Yes,No,No,No,Tesco,Tesco ,Maybe / not sure,No,No,Yes,No,No,No,No,No,No,No,No,Unity among family ,Fast food ,Somewhat appealing,Somewhat appealing,Family discount ,Good value,Yes,No,Yes,Yes,No,No,No,No,None,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Male,Core London,Other HH
a62b501a-df86-4947-9697-f4c2281cfe48yffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,NA,Na,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Family meals that is discounted at certain periods of the day,Fair value,Yes,Yes,No,No,No,No,Yes,No,Decent value,,Somewhat unlikely,No,No,No,No,No,No,No,No,Prefer going to stores,Unlikely,25 34,Male,Core London,Other HH
42e977a9-6791-46d3-8576-312142f8651cyffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,Very positive and unique,Very positive and unique,"Yes, definitely",No,No,Yes,No,Yes,No,No,No,Yes,No,No,Very positive and unique ,Very positive and unique,Very appealing,Very appealing,Very positive and unique,Excellent value,No,No,No,Yes,No,Yes,Yes,No,Very positive and unique,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,35 44,Male,Core London,U 16 In HH
46a0eab8-2f92-4067-b214-637ae9e08392yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,N/a,N/A,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,Getting a family meal for £25,Poor value,Yes,No,No,Yes,Yes,No,No,No,Nothing,,Somewhat unlikely,No,No,No,Yes,No,Yes,No,No,There are only 2 of us in the household,Definitely would not,55,Male,South England Wales,Other HH
53cab2e5-a4d1-4fbb-b6fc-a3e9f8f52adcyffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,10% of all orders,justeat,"Yes, definitely",Yes,Yes,No,Yes,No,No,No,No,No,No,No,new orders get 5pound off,for nice family of 4 meals,Very appealing,Very appealing,very exciting,Excellent value,No,Yes,Yes,No,No,Yes,No,No,nothing more,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,55,Female,North England,U 16 In HH
b2783638-b1c8-41ba-9ba8-54107a98903eyffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,N/A,N/A,"Yes, definitely",Yes,No,Yes,No,No,No,No,No,No,No,No,Feed family 0f 4,A deal on a family dinner ,Not very appealing,Not very appealing,A deal on food for a family ,Good value,Yes,No,No,Yes,No,No,Yes,No,If it was for couples as well,"I've heard of it, but I'm not interested in trying it",Somewhat unlikely,No,No,No,No,No,No,No,No,We are not a family ,Might do if convenient,45 54,Female,South England Wales,Other HH
2d428236-c34b-4de6-a90b-722bd6aaf285yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,Christmas offers,Asda ,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,Discount price ,Good value,Yes,No,No,No,No,Yes,Yes,No,It's affordability ,,Very likely,,,,,,,,,,Definitely would,25 34,Female,Core London,U 16 In HH
6b9cc8be-6c65-4535-90f5-9e763362977ayffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,KFC,Food Hub,"Yes, definitely",Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Food and family nourish our body and soul,Heart warming concept ,Somewhat appealing,Very appealing,Eating food,Excellent value,No,No,Yes,Yes,No,Yes,No,No,Very good ,I’ve already ordered using Family Dinneroo,Somewhat likely,,,,,,,,,,Definitely would,25 34,Male,North England,U 16 In HH
8ea3783b-6c6f-4ffd-9ab5-621c2404f5b6yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Feeding the family for less,Good value,Yes,No,Yes,No,No,Yes,No,No,Nothing I think it’s a good idea for families ,,Somewhat likely,,,,,,,,,,Might do if convenient,55,Female,Core London,Other HH
638be955-c9dd-4cdb-acc8-bce32df3e1dbyffknfw,4pzacubs3vg,In the past month,Yes,No,No,No,N/A,N/A,Maybe / not sure,No,No,No,No,No,No,Yes,No,No,No,No,That it is a time to get all the family together,"Family bundles of food delivered, enough for the family",Very appealing,Somewhat appealing,That you can feed the family for £25 or less,Good value,Yes,Yes,No,Yes,No,No,No,No,I'm not sure ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,35 44,Female,South England Wales,U 16 In HH
f0b9ce53-ed10-424e-ad61-5a05ba8f7195yffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,N/A,N/A,Maybe / not sure,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,THEY MAKE FAMILY DINNER AFFORDABLE,THEY OFFER FOOD SERVICES,Somewhat appealing,Very appealing,GOOD VALUE FOR MONEY,Excellent value,Yes,No,No,Yes,No,Yes,No,No,AFFORDABLE MEALS,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,25 34,Female,Scotland,U 16 In HH
34fe56a4-7c9b-4b90-9c5c-2ef3a9cae4f9yffknfw,4pzacubs3vg,In the past month,Yes,No,No,No,N/a,N/a,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Family sized bundle,Good value,Yes,No,Yes,No,No,No,Yes,No,Options and good value for money,,Neither likely nor unlikely,,,,,,,,,,Might do if convenient,35 44,Female,South England Wales,U 16 In HH
40f1fa4c-00db-4e2b-9be2-a4c39da8aaf2yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Just eat+ membership,Just eat,"Yes, definitely",No,No,Yes,No,No,Yes,No,No,No,No,No,It entails relieving the mental and physical load of parents.,This is a way of making dinners get easier for the parents. There is less stress for them about the dinner.,Very appealing,Very appealing,It’s about feeding a whole family with a small amount of money. ,Excellent value,Yes,No,Yes,No,No,Yes,No,No,I would love to see the video advert. I bet it would be interesting and fun haha.,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,18 24,Female,Core London,U 16 In HH
6a0e448e-da1d-4031-91d2-e805fd232029yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,deals of food,Just eat,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,It looks like you get lots fro it,Good value,Yes,Yes,Yes,No,No,No,No,No,nothing,,Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Female,North England,U 16 In HH
493c775e-60d1-4b18-b3a9-9e35652faa6dyffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,Two for one ,Local pizza place - Tops pizza ,Maybe / not sure,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Offers on a larger order ,Money off a deal for 4,Somewhat appealing,Very appealing,Money off ,Good value,No,Yes,No,No,Yes,No,Yes,No,Nothing ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Might do if convenient,55,Male,South England Wales,U 16 In HH
cddffa16-7df1-4b83-93e6-24d0f7c164c9yffknfw,4pzacubs3vg,4-12 months ago,No,Yes,No,No,"NA
",SUBWAY,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Family meal deals ,Poor value,No,No,No,No,No,Yes,No,No,Fresh veg or fruit rather than just processed food ,,Somewhat unlikely,Yes,Yes,No,No,No,Yes,No,No,No,Might do if convenient,35 44,Female,North England,Other HH
108fe289-f74f-4c93-b935-51adb882e56byffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,Side & main deal ,Dominoes ,Maybe / not sure,No,No,No,No,No,No,Yes,No,No,No,No,It’s a deal for families who dine ,Dine in for families via deliveroo,I’m not sure what it is / I don't know enough to say,Somewhat appealing,A fine in meal for families ,Fair value,No,No,No,No,Yes,Yes,Yes,No,Unsure ,"I've heard of it, but I haven't decided if I'll try it",Neither likely nor unlikely,,,,,,,,,,Unlikely,55,Female,Scotland,Other HH
ad135a67-bdd2-4952-922d-1cbf45924d5byffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,Emergency food response ,Tesco,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,"Affordable weekly family meals for £25 or less, available from Mondaybto Thursday ",Good value,No,No,Yes,No,No,Yes,Yes,No,"It has reassuring values, and time specific convenient ",,Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Female,Core London,U 16 In HH
77cdf7ab-2469-431b-83c1-6620d498d240yffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,N/A,Ubereats,Maybe / not sure,No,No,No,Yes,No,No,No,No,No,No,No,Family dinner, A family friendly brand,Very appealing,Very appealing,It’s affordable ,Excellent value,Yes,No,No,Yes,No,No,Yes,No,If they were available on the weekends ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,18 24,Female,Core London,U 16 In HH
8d9a4ece-4ec7-4998-9dfd-e5c68d0c1e37yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,12£offbfor new customer ,Deliveroo ,"Yes, definitely",No,No,Yes,No,Yes,No,No,No,No,No,No,New deliveroo service to make weekday mealtimes easier,To provide ease of dinner to families on weekdays ,Very appealing,Very appealing,Food for whole family for £25,Excellent value,Yes,No,No,No,Yes,Yes,No,No,Feed whole family for just £25,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,45 54,Female,South England Wales,Other HH
4ac9edee-3063-4071-829d-aa7bc7cbfdf9yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Uber eat,McDonald's ,Maybe / not sure,Yes,No,No,No,No,No,No,No,No,No,No,Not sure,Family meal,Very appealing,Somewhat appealing,Cool design,Good value,Yes,Yes,No,No,No,Yes,No,No,Quality consistency ,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Male,Core London,U 16 In HH
792d4b24-4505-457a-a8fc-85a336c08161yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,NA,Uber eats duscount,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Attractive,Excellent value,Yes,Yes,No,No,No,No,Yes,No,Larger pic for food,,Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Female,North England,U 16 In HH
1f12cbeb-4158-4708-95fe-9b1bc4a05747yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Uber,Deliveroo,"Yes, definitely",No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,It's a great brand,Great,Very appealing,Somewhat appealing,Great,Excellent value,Yes,Yes,Yes,No,No,No,No,No,Great,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Male,North England,U 16 In HH
7f1cd4bf-6366-409d-8877-b2cf648dfd4ayffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Deliveroo,Deliveroo,Maybe / not sure,No,No,No,No,No,No,No,No,No,Yes,No,No thoughts.,I have no idea.,Somewhat appealing,Not very appealing,Feed the Family for Less,Fair value,Yes,No,No,Yes,No,No,No,No,No thoughts.,"I haven't ordered it, but I plan to try it",Neither likely nor unlikely,,,,,,,,,,Might do if convenient,35 44,Male,South England Wales,Other HH
0e5e60e1-ea0a-4502-acd5-5c522d12902fyffknfw,4pzacubs3vg,1-3 months ago,No,No,Yes,No,none,none,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,fixed price meals ,Good value,No,No,No,Yes,Yes,Yes,No,No,more description of what you would receive,,Neither likely nor unlikely,,,,,,,,,,Might do if convenient,55,Male,South England Wales,Other HH
b51d20b2-dea4-406a-b34c-f9ccc5b6bc8dyffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Money off if you spend a certain amount.,Deliveroo,Maybe / not sure,No,Yes,No,No,No,No,No,No,No,No,No,That its homely & inclusive,A meal deal for the whole household,Very appealing,Very appealing,Enough food to feed the whole family.,Good value,Yes,Yes,No,No,No,No,Yes,No,Specify food types.,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,45 54,Male,South England Wales,U 16 In HH
5b2b377c-9b14-48f4-8b09-f0daccf1617fyffknfw,4pzacubs3vg,1-3 months ago,No,No,Yes,No,N/a,Uber eats ,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,£25 will enough to feed the family with deliveroo,Excellent value,Yes,No,No,No,No,Yes,Yes,No,More re,,Somewhat likely,,,,,,,,,,Definitely would,45 54,Female,Core London,Other HH
572ff334-ba4e-4019-854d-83ef27bf78f1yffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,N/A,N/A,Maybe / not sure,Yes,No,No,No,No,No,No,No,No,No,No,Do not know,Service delivering meal for whole family,Somewhat appealing,Somewhat appealing,Reduced price for a family meal - a good deal,Fair value,No,No,No,No,Yes,Yes,Yes,No,Which restraint was involved,"I've heard of it, but I haven't decided if I'll try it",Somewhat unlikely,No,No,No,Yes,Yes,No,No,No,No,Unlikely,55,Male,South England Wales,Other HH
63a09ad0-18c3-4f75-bda6-124e95f8f14dyffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Buy 2 get 1 for free,Justeats,Maybe / not sure,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Family dinner in a go,Family dinner on the go,Somewhat appealing,Somewhat appealing,Simple and straightforward ,Good value,No,No,Yes,No,No,Yes,Yes,No,Selecting the number of people eating the treat,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,18 24,Male,Core London,U 16 In HH
7a1f984b-5f19-42a0-ba6b-9d2e9c0d73a0yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,discounts on next 5 orders,Just Eat,Maybe / not sure,Yes,No,No,Yes,No,No,No,No,No,No,No,Order a pre-set menu for a family deal ,Price conscious meal choices for a family of up to 4 people,Somewhat appealing,Very appealing,Feed the whole family mid-week for 25 pounds ,Excellent value,Yes,No,Yes,No,No,No,Yes,No,a go-large options for hungry families,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,55,Male,North England,Other HH
18d0f1b5-74d1-4cad-bbc2-94a542ed085fyffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,"Free deliveries can be set up as promo offers , fast and swift deliveries should be implemented and deliveries should be made intact and secure ",Uber Eats,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Making family meals easy and fun ,"Family Dinneroo is a service or idea that encourages families to eat together by making dinner time easier, more organised, and more enjoyable for everyone",Very appealing,Very appealing,Feeding the family and having togetherness with an affordable price and even lesser ,Excellent value,Yes,No,Yes,No,No,No,Yes,No,"It would be more appealing if it offered quick, affordable meal ideas and practical tips that help make family dinners easier to plan and fit into a busy schedule.",I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Male,Greater London,U 16 In HH
769d1c69-7452-4fa4-a5fa-d16cc4df4381yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,Shoe and clothes ,N/A,"Yes, definitely",No,No,Yes,No,No,Yes,No,No,No,No,No,Family Dinneroo is bringing families together over shared meals and making mealtime enjoyable and stress-free.,"Family Dinneroo is a service or concept that helps families come together over meals, making dinner time easier, more enjoyable, and stress-free.",Very appealing,Very appealing,Trusted ,Excellent value,Yes,No,No,Yes,No,Yes,No,No,Excellent ,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Male,South England Wales,U 16 In HH
5cacaf87-8f55-4a81-b1cb-64ed1d5aca7dyffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,Non,Justeat,"No, I haven’t",,,,,,,,,,,,,,,Not at all appealing,I don't know ,Not sure,No,No,Yes,No,No,No,No,No,I don't know ,,Somewhat unlikely,No,No,Yes,No,No,No,No,No,No,Might do if convenient,35 44,Male,South England Wales,U 16 In HH
f9be2d11-d49b-4026-9de2-afb9885982a3yffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Saving money on a large order of food,Good value,Yes,No,No,Yes,No,Yes,No,No,Understanding what restaurants it can be used at and what food is included.,,Neither likely nor unlikely,,,,,,,,,,Might do if convenient,45 54,Male,Core London,U 16 In HH
f4597a64-fc40-4eb2-a382-88e4b931cc37yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,N/A,N/A,Maybe / not sure,Yes,No,No,No,No,No,No,No,No,No,No,THE DEALS AND PROMOTIONS.,A MEAL DELIVERY FOR ALL OF THE FAMILY.,Somewhat appealing,Very appealing,IT LOOKS COOL AND INTERESTING.,Good value,No,No,Yes,Yes,No,No,Yes,No,MORE FOOD AND A LOWER COST.,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,45 54,Female,North England,U 16 In HH
e7e512da-de82-412a-80c2-6b466d629ea6yffknfw,4pzacubs3vg,4-12 months ago,No,No,Yes,No,Free delivery ,Uber Eats ,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,That it is inexpensive to feed a family,Good value,Yes,No,No,Yes,No,No,No,No,Good value,,Somewhat likely,,,,,,,,,,Might do if convenient,45 54,Male,South England Wales,U 16 In HH
5467d119-4321-47ae-88de-c35c6b85aa14yffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,None,Diveroo,Maybe / not sure,Yes,No,No,No,No,No,No,No,No,No,No,Their customer service ,Family large meal,Very appealing,Very appealing,I think it's incredible ,Excellent value,No,Yes,Yes,No,No,No,Yes,No,I think it's perfect just the way it is ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,18 24,Female,North England,U 16 In HH
dcad7235-06e3-4bf1-ad2f-d7ecc3764cfdyffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,N/A,N/A,"Yes, definitely",No,Yes,Yes,No,No,No,No,No,Yes,No,No,Affordable meals,A nice place where family members can come have a great meal.,Very appealing,Very appealing,Family meals,Good value,No,No,Yes,No,Yes,No,Yes,No,The graphics ,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,35 44,Female,South England Wales,U 16 In HH
ea740418-9e06-4f75-ac15-0f7d5db8174byffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,N/a,N/a,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,You can get a family meal for £25,Fair value,Yes,Yes,No,No,Yes,No,No,No,Would want to know the details ,,Somewhat unlikely,No,Yes,No,Yes,No,No,No,Yes,No,Unlikely,45 54,Male,Core London,Other HH
a24ecef6-c7b7-474a-a0c9-6e94e31a7f64yffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,none,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,getting people to use them,Not sure,Yes,No,No,No,No,No,No,No,make it cheaper,,Neither likely nor unlikely,,,,,,,,,,Might do if convenient,45 54,Male,North England,U 16 In HH
b56a219a-1e1c-4bf2-899b-dfd5ec0ad784yffknfw,4pzacubs3vg,1-3 months ago,Yes,Yes,Yes,No,Kfc,Kfc,Maybe / not sure,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Dunno,Deliveroo ,Somewhat appealing,Somewhat appealing,Deliveroo ,Good value,Yes,Yes,No,No,No,No,Yes,No,Colour,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Female,South England Wales,U 16 In HH
de48f33c-a92a-4e11-9cb5-f82a372331a2yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Grocco,Ubereats,"Yes, definitely",No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,They offer the best services ,Family enjoyment ,Very appealing,Very appealing,About family gatherings ,Excellent value,No,Yes,No,No,Yes,No,Yes,No,Making more family options available ,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Male,North England,U 16 In HH
67ff6c84-6d79-4d60-ae3d-c92259e9590cyffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,N/A,N/A,Maybe / not sure,No,No,No,No,No,No,No,No,No,Yes,No,Dinneroo can deliver food from anywhere,N/A,Somewhat appealing,Somewhat appealing,Dinneroo will deliver food for inder £25,Not sure,Yes,No,Yes,No,No,No,Yes,No,More choices,"I haven't ordered it, but I plan to try it",Neither likely nor unlikely,,,,,,,,,,Might do if convenient,45 54,Female,Core London,U 16 In HH
b8acd2e7-1d21-479d-aa2e-c2bddb8ec562yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,N/A,Door dash,"Yes, definitely",No,No,Yes,No,Yes,No,No,No,No,No,No,"Laughing, stories, quality time, jokes","Is a special time to bond with loved ones and family over a meal and a chance to tell stories, joke and have fun",Very appealing,Very appealing,For people to come from a lesser price,Excellent value,Yes,No,Yes,No,No,No,Yes,No,The price and value,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,25 34,Female,South England Wales,U 16 In HH
